facility_id,facility_name,address,city,state,county,telephone_number,hospital_type,hospital_ownership,emergency_services,birthing_friendly,hospital_overall_rating,mort_group_measure_count,count_facility_mort_measures,count_mort_better,count_mort_no_diff,count_mort_worse,safety_group_measure_count,count_facility_safety_measures,count_safety_better,count_safety_no_diff,count_safety_worse,readm_group_measure_count,count_facility_readm_measures,count_readm_better,count_readm_no_diff,count_readm_worse,ptexp_group_measure_count,count_facility_ptexp_measures,te_group_measure_count,count_facility_te_measures,zip,hcahps_clean_linear,n_surveysclean_lin,response_rateclean_lin,hcahps_clean_star,n_surveysclean_star,response_rateclean_star,hcahps_discharge_linear,n_surveysdisch_lin,response_ratedisch_lin,hcahps_discharge_star,n_surveysdisch_star,response_ratedisch_star,hcahps_discharge_yes_pct,n_surveysdisch_yes,response_ratedisch_yes,hcahps_doctor_comm_linear,n_surveysdoctor_lin,response_ratedoctor_lin,hcahps_doctor_comm_star,n_surveysdoctor_star,response_ratedoctor_star,hcahps_medicine_comm_linear,n_surveysmeds_lin,response_ratemeds_lin,hcahps_medicine_comm_star,n_surveysmeds_star,response_ratemeds_star,hcahps_nurse_comm_linear,n_surveysnurse_lin,response_ratenurse_lin,hcahps_nurse_comm_star,n_surveysnurse_star,response_ratenurse_star,hcahps_overall_linear,n_surveysoverall_lin,response_rateoverall_lin,hcahps_overall_high_pct,n_surveysoverall_pct,response_rateoverall_pct,hcahps_overall_star,n_surveysoverall_star,response_rateoverall_star,hcahps_quiet_linear,n_surveysquiet_lin,response_ratequiet_lin,hcahps_quiet_star,n_surveysquiet_star,response_ratequiet_star,hcahps_recommend_linear,n_surveysrecmnd_lin,response_raterecmnd_lin,hcahps_def_recommend_pct,n_surveysrecmnd_pct,response_raterecmnd_pct,hcahps_recommend_star,n_surveysrecmnd_star,response_raterecmnd_star,hcahps_summary_star,n_surveyssummary_star,response_ratesummary_star,nyc_county,z_overall_exp,z_recommend,z_nurse_comm,z_doctor_comm,z_med_comm,z_discharge,patient_experience_index,GEOID,provider_time_weight_sum,avg_provider_time_weight,provider_count_timefile,communication_index,access_z,fragmentation,tract_id,_CX,_CY
330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,BRONX,(718) 579-5000,Acute Care Hospitals,Government - Local,Yes,Y,1,7,4,0,4,0,8,6,3,3,0,11,5,0,5,0,8,8,12,9,10451,84,438,7,3,438,7,76,438,7,1,438,7,77,438,7,88,438,7,2,438,7,67,438,7,1,438,7,85,438,7,1,438,7,81,438,7,54,438,7,2,438,7,67,438,7,1,438,7,78,438,7,52,438,7,2,438,7,2,438,7,1,-1.8828092,-1.8627967,-2.3437672,-1.007177,-1.953866,-2.4804142,-1.921805,36005006500,2.934523820877075,.36681548,8,86.5,.77916461,-.77916461,36005006500,-73.92165922012035,40.81739834641282
330009,BRONXCARE HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,BRONX,(212) 588-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,7,5,0,5,0,8,6,2,4,0,11,5,0,4,1,8,8,12,9,10456,86,560,7,3,560,7,80,560,7,2,560,7,80,560,7,89,560,7,2,560,7,72,560,7,2,560,7,86,560,7,2,560,7,82,560,7,55,560,7,2,560,7,75,560,7,2,560,7,80,560,7,57,560,7,2,560,7,2,560,7,1,-1.6112527,-1.4459021,-1.966207,-.63630188,-.92259949,-1.4620126,-1.3407127,36005014900,2.505952373147011,.62648809,4,87.5,.47510037,-.47510037,36005014900,-73.90148801770087,40.83260303768375
330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,BRONX,(718) 918-5000,Acute Care Hospitals,Government - Local,Yes,Y,1,7,6,0,6,0,8,6,1,4,1,11,6,0,5,1,8,8,12,9,10461,83,745,7,2,745,7,74,745,7,1,745,7,74,745,7,88,745,7,2,745,7,66,745,7,1,745,7,85,745,7,1,745,7,83,745,7,58,745,7,2,745,7,73,745,7,2,745,7,81,745,7,62,745,7,2,745,7,2,745,7,1,-1.339696,-1.2374549,-2.3437672,-1.007177,-2.1601193,-2.989615,-1.8463049,36005029600,3,1,3,86.5,.82561886,-.82561886,36005029600,-73.8450221897097,40.85537210875411
330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,BRONX,(212) 960-9000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,7,3,0,3,0,8,6,2,3,1,11,5,0,5,0,8,8,12,8,10457,84,728,18,3,728,18,77,728,18,1,728,18,77,728,18,87,728,18,2,728,18,68,728,18,1,728,18,83,728,18,1,728,18,81,728,18,54,728,18,2,728,18,75,728,18,2,728,18,78,728,18,53,728,18,2,728,18,2,728,18,1,-1.8828092,-1.8627967,-3.0988874,-1.378052,-1.7476127,-2.2258139,-2.0326619,36005037504,1.595238089561462,.53174603,3,85,-.17103614,.17103614,36005037504,-73.89266895686747,40.85030627839304
330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,BRONX,(718) 920-4321,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,7,7,3,4,0,8,8,1,6,1,11,11,1,8,2,8,8,12,10,10467,84,4810,11,3,4810,11,80,4810,11,2,4810,11,80,4810,11,90,4810,11,3,4810,11,74,4810,11,2,4810,11,89,4810,11,2,4810,11,85,4810,11,63,4810,11,3,4810,11,74,4810,11,2,4810,11,84,4810,11,65,4810,11,3,4810,11,2,4810,11,1,-.79658294,-.61211318,-.83352655,-.26542678,-.51009297,-1.4620126,-.74662584,36005042100,6.238095238804817,.89115644,7,89.5,3.1229932,-3.1229932,36005042100,-73.88273400476977,40.88146132136796
330396,WOODHULL MEDICAL & MENTAL HEALTH CENTER,760 BROADWAY,BROOKLYN,NY,KINGS,(718) 963-8100,Acute Care Hospitals,Government - Local,Yes,Y,1,7,2,0,2,0,8,5,1,3,1,11,3,0,2,1,8,8,12,10,11206,88,464,9,4,464,9,82,464,9,2,464,9,83,464,9,90,464,9,3,464,9,71,464,9,2,464,9,87,464,9,2,464,9,84,464,9,61,464,9,2,464,9,78,464,9,2,464,9,81,464,9,59,464,9,2,464,9,2,464,9,1,-1.0681396,-1.2374549,-1.5886469,-.26542678,-1.1288528,-.95281184,-1.0402222,36047028501,2.113095238804817,.26413691,8,88.5,.19637483,-.19637483,36047028501,-73.94209134844461,40.69942657605021
330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,KINGS,(718) 963-7272,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,7,5,0,5,0,8,6,1,5,0,11,6,0,5,1,8,8,12,9,11237,85,910,23,3,910,23,78,910,23,1,910,23,78,910,23,87,910,23,2,910,23,68,910,23,1,910,23,86,910,23,2,910,23,85,910,23,59,910,23,3,910,23,75,910,23,2,910,23,82,910,23,57,910,23,2,910,23,2,910,23,1,-.79658294,-1.0290077,-1.966207,-1.378052,-1.7476127,-1.9712135,-1.481446,36047044300,1,1,1,86.5,-.59334761,.59334761,36047044300,-73.91668622695761,40.70330434065414
330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,NY,KINGS,(718) 692-5302,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,1,7,6,0,6,0,8,2,0,2,0,11,6,0,3,3,8,8,12,8,11229,85,315,12,3,315,12,72,315,12,1,315,12,72,315,12,82,315,12,1,315,12,65,315,12,1,315,12,82,315,12,1,315,12,77,315,12,47,315,12,1,315,12,72,315,12,2,315,12,74,315,12,49,315,12,1,315,12,1,315,12,1,-2.9690354,-2.6965857,-3.4764476,-3.2324274,-2.3663726,-3.4988158,-3.0399475,36047064200,2,1,2,82,.11613565,-.11613565,36047064200,-73.94639388323462,40.61219747342015
330350,SUNY/DOWNSTATE UNIVERSITY HOSPITAL OF BROOKLYN,445 LENOX ROAD,BROOKLYN,NY,KINGS,(718) 270-1000,Acute Care Hospitals,Government - State,Yes,Y,1,7,4,0,4,0,8,6,1,5,0,11,6,0,4,2,8,8,12,9,11203,83,246,9,2,246,9,78,246,9,1,246,9,79,246,9,92,246,9,4,246,9,72,246,9,2,246,9,87,246,9,2,246,9,80,246,9,58,246,9,1,246,9,80,246,9,3,246,9,83,246,9,59,246,9,2,246,9,2,246,9,1,-2.1543658,-.82056046,-1.5886469,.4763234,-.92259949,-1.9712135,-1.1635104,36047081600,2,1,2,89.5,.11613565,-.11613565,36047081600,-73.94420530794889,40.65352966684333
330233,BROOKDALE HOSPITAL MEDICAL CENTER,1 BROOKDALE PLAZA,BROOKLYN,NY,KINGS,(718) 240-5966,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,7,6,0,6,0,8,6,1,4,1,11,6,0,4,2,8,8,12,9,11212,82,730,7,2,730,7,73,730,7,1,730,7,74,730,7,87,730,7,2,730,7,67,730,7,1,730,7,83,730,7,1,730,7,77,730,7,48,730,7,1,730,7,76,730,7,2,730,7,72,730,7,42,730,7,1,730,7,1,730,7,1,-2.9690354,-3.1134801,-3.0988874,-1.378052,-1.953866,-3.2442155,-2.626256,36047089000,.2380952388048172,.23809524,1,85,-1.1339062,1.1339062,36047089000,-73.91548928097811,40.65698775715753
