GEOID,map_id,borough,population,poverty_rate,income,lat_t,lon_t,providers,provider_time_weight_sum,avg_provider_time_weight,density,z_density,min_dist,inv_dist,z_access_map,FI,FI2,fragmentation_index,FI_combined,frag_q,surface_version,_ID
36005000200,36005000200,Bronx,5061,0.13495357,123729,40.8082452,-73.8567226,0,0,0,0,0.1993578175,0.006582023394,9.382445258,-0.3230189878,0.3230189878,0.5223768053,0.3455596172,0.3455596172,High fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,4796
36005000400,36005000400,Bronx,6649,0.14648819,105924,40.8087867,-73.8514252,1,0.2380952388,0.2380952388,3.580918015e-05,0.09608667372,0.007880480079,9.269517519,-0.6087678761,0.6087678761,0.7048545498,0.4662712163,0.4662712163,High fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,4819
36005001600,36005001600,Bronx,5611,0.10677426,52147,40.8188478,-73.8580764,2,0.565476194,0.282738097,0.0001007799312,-0.09128437877,0.002731299869,9.734131674,0.566877531,-0.566877531,-0.6581619097,-0.435383377,-0.435383377,Low fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,4820
36005001901,36005001901,Bronx,2260,0.1364039,58083,40.8067879,-73.9280462,0,0,0,0,0.1993578175,0.004545893635,9.565177218,0.139360357,-0.139360357,0.05999746049,0.03968916549,0.03968916549,Moderate-high fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,4464
36005001902,36005001902,Bronx,2079,0.19019608,48953,40.803683,-73.9159297,1,1,1,0.000481000481,-1.187813562,0.00164156409,9.838494802,0.8309547886,-0.8309547886,-2.018768351,-1.335443709,-1.335443709,Least fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,4428
36005002001,36005002001,Bronx,4199,0.19207391,22311,40.8173941,-73.8678806,0,0,0,0,0.1993578175,0.009622488839,9.122215803,-0.9814956195,0.9814956195,1.180853437,0.7811511871,0.7811511871,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,4432
36005002002,36005002002,Bronx,3609,0.22725993,18649,40.817637,-73.8644248,0,0,0,0,0.1993578175,0.007346559988,9.315622225,-0.4921059411,0.4921059411,0.6914637585,0.4574130192,0.4574130192,High fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,4433
36005002300,36005002300,Bronx,4567,0.13838406,16332,40.8090823,-73.9258441,0,0,0,0,0.1993578175,0.001805108632,9.822689779,0.7909622422,-0.7909622422,-0.5916044247,-0.3913546628,-0.3913546628,Low fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,4887
36005002400,36005002400,Bronx,105,0.085714288,,40.8160168,-73.870956,0,0,0,0,0.1993578175,0.009419862557,9.139108537,-0.9387507626,0.9387507626,1.13810858,0.7528748621,0.7528748621,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,4888
36005002500,36005002500,Bronx,5117,0.11837213,35582,40.8070025,-73.9208749,1,0.3273809552,0.3273809552,6.397908056e-05,0.01484667261,0.000686527876,9.931815319,1.067090162,-1.067090162,-1.052243489,-0.6960738946,-0.6960738946,Least fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,4889
36005002701,36005002701,Bronx,3111,0.17385663,20266,40.8050791,-73.9163464,1,0.3273809552,0.3273809552,0.0001052333511,-0.1041277268,0.0004884757916,9.95138987,1.116621004,-1.116621004,-1.22074873,-0.8075424858,-0.8075424858,Least fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,4800
36005002702,36005002702,Bronx,4798,0.12552214,30895,40.8064496,-73.913773,1,0.2380952388,0.2380952388,4.962385136e-05,0.05624613869,0.001088297065,9.892341933,0.9672079164,-0.9672079164,-0.9109617777,-0.6026140517,-0.6026140517,Least fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,4890
