facility_id,facility_name,hospital_system,borough,included_in_hcahps_validation,hcahps_exclusion_reason,GEOID,fragmentation_index,communication_index,patient_experience_index
330009,BRONXCARE HOSPITAL CENTER,BronxCare Health System,Bronx,Yes,,36005014900,-1.605745337,87.0,-0.17435655129724595
330127,JACOBI MEDICAL CENTER,NYC Health + Hospitals,Bronx,Yes,,36005029600,-4.103580182,86.5,-0.6434296413826784
330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,NYC Health + Hospitals,Bronx,Yes,,36005006500,-1.689093337,85.5,-0.7997785353433086
330059,MONTEFIORE MEDICAL CENTER,Montefiore Health System,Bronx,Yes,,36005042100,-2.998581961,89.5,0.5895445439937232
330399,ST BARNABAS HOSPITAL,St. Barnabas Hospital / SBH Health System,Bronx,Yes,,36005037504,-2.14754906,85.5,-0.8964030828797728
330233,BROOKDALE HOSPITAL MEDICAL CENTER,One Brooklyn Health,Brooklyn,Yes,,36047089000,-1.120224473,84.0,-1.7740017106848474
330056,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,The Brooklyn Hospital Center,Brooklyn,Yes,,36047018300,-1.055802768,86.5,-0.4685624155166781
330202,KINGS COUNTY HOSPITAL CENTER,NYC Health + Hospitals,Brooklyn,Yes,,36047080800,-0.9083943705,88.0,0.1723831223925341
330194,MAIMONIDES MEDICAL CENTER,Maimonides Health,Brooklyn,Yes,,36047011400,-1.02319819,87.5,0.2535934658813211
330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",New York Community Hospital,Brooklyn,Yes,,36047064200,-3.093887343,81.5,-2.0503128286177827
330196,SOUTH BROOKLYN HEALTH,NYC Health + Hospitals,Brooklyn,Yes,,36047037000,-0.6747861419,88.0,0.20238646707943478
330350,SUNY/DOWNSTATE UNIVERSITY HOSPITAL OF BROOKLYN,SUNY Downstate Health Sciences University,Brooklyn,Yes,,36047081600,-2.007018497,89.0,0.2848519798619805
330396,WOODHULL MEDICAL & MENTAL HEALTH CENTER,NYC Health + Hospitals,Brooklyn,Yes,,36047028501,-3.927121853,87.5,-0.35886478175944864
330221,WYCKOFF HEIGHTS MEDICAL CENTER,Wyckoff Heights Medical Center,Brooklyn,Yes,,36047044300,-1.222381403,87.0,-0.19312740788241936
330204,BELLEVUE HOSPITAL CENTER,NYC Health + Hospitals,Manhattan,Yes,,36061006200,-0.3411227779,88.0,0.11065122962480232
330240,HARLEM HOSPITAL CENTER,NYC Health + Hospitals,Manhattan,Yes,,36061021200,-1.292329293,85.0,-1.3261143856167832
330270,HOSPITAL FOR SPECIAL SURGERY,Hospital for Special Surgery,Manhattan,Yes,,36061012400,-1.524404995,93.0,2.420515598239084
330119,LENOX HILL HOSPITAL,Northwell Health,Manhattan,Yes,,36061012800,-1.427152209,89.0,0.6905184976400337
330199,METROPOLITAN HOSPITAL CENTER,NYC Health + Hospitals,Manhattan,Yes,,36061015602,-1.766025511,87.0,-0.1826994965897407
330169,MOUNT SINAI BETH ISRAEL,Mount Sinai Health System,Manhattan,Yes,,36061004800,-1.582331995,87.0,-0.4348400955257978
330024,MOUNT SINAI HOSPITAL,Mount Sinai Health System,Manhattan,Yes,,36061016800,-1.816726327,90.0,1.0918406829923448
330046,MOUNT SINAI WEST,Mount Sinai Health System,Manhattan,Yes,,36061014500,-0.3811444029,88.5,0.3512163262870051
330101,NEW YORK-PRESBYTERIAN HOSPITAL,NewYork-Presbyterian,Manhattan,Yes,,36061011600,-4.355003503,90.5,1.3362795923673527
330100,NY EYE AND EAR INFIRMARY OF MOUNT SINAI,Mount Sinai Health System,Manhattan,No,Missing one or more required HCAHPS linear communication/experience outcomes,36061004001,-0.96143709,,
330214,NYU LANGONE HOSPITALS,NYU Langone Health,Manhattan,Yes,,36061006200,-0.3411227779,91.5,1.5491275692289905
330128,ELMHURST HOSPITAL CENTER,NYC Health + Hospitals,Queens,Yes,,36081026700,-0.7412435758,86.5,-0.2698335078525346
330193,FLUSHING HOSPITAL MEDICAL CENTER,MediSys Health Network,Queens,Yes,,36081120100,-1.504263159,88.5,0.587352704278767
330014,JAMAICA HOSPITAL MEDICAL CENTER,MediSys Health Network,Queens,Yes,,36081014202,-3.466268078,87.0,-0.06444577712432471
330055,NEW YORK-PRESBYTERIAN/QUEENS,NewYork-Presbyterian,Queens,Yes,,36081079900,-1.293588726,89.0,0.7908615722092698
330231,QUEENS HOSPITAL CENTER,NYC Health + Hospitals,Queens,Yes,,36081126700,-0.288384131,88.5,0.42201713319349654
330395,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,Episcopal Health Services,Queens,Yes,,36081099801,-1.498633976,84.5,-0.8547461135689995
330028,RICHMOND UNIVERSITY MEDICAL CENTER,Richmond University Medical Center,Staten Island,Yes,,36085006700,-1.248950209,87.0,-0.6983684682436154
330160,STATEN ISLAND UNIVERSITY HOSPITAL,Northwell Health,Staten Island,Yes,,36085007002,-0.7167958414,88.5,0.33674431461583754
